0x00001100 0x11
0x0000110d 0x11111
0x00001140 0x0
0x00001210 0x1
0x00001301 0x8
0x00001329 0x0
0x0000132b 0x0
0x00001339 0x7ffffffb000
0x0000133b 0x0
0x00001700 0x0
0x00001800 0x200000000022
0x0000180e 0x100000001
0x0000180f 0x100000001
0x000018c0 0x0
0x00001900 0x1131
0x00001920 0x0
0x00001926 0x0
0x00001980 0x109111109111111
0x00001a00 0x1
0x00001a03 0x400
0x00002002 0x0
0x00002003 0x0
0x00002005 0x0
0x10000020 0x20000000000fff80
0x10000021 0x20000000080fffe0
0x10000026 0x2f7bc080400fffc0
0x10000027 0xfffff00000
0x10000028 0x2000007e7ff00100
0x1000002b 0x2de800a17ffa0000
0x1000002c 0x20000000f0000003
0x10000080 0x3
0x40000020 0x20000000000fff80
0x40000021 0x20000000080fffe0
0x40000023 0x20000080400fffc0
0x40000024 0xfffff00000
0x4000002a 0x2000007e7ff00100
0x4000002c 0x800000edfffc2800
0x4000002e 0x20000000f0000003
0x40000080 0x1
0x400000e0 0xc0000000040fffc0
0x400000e1 0xc0000000020fffe0
0x400000e2 0xc0000000010ffff0
0x400000e3 0x60000000033000f0
0x400000e9 0x0
0x400000ea 0xc00000002f0ffff0
0x400000ec 0xc00000003f0ffff0
0x40002001 0x6
0x48002005 0x0
0x4c00000c 0x0
0x4c00000d 0x0
0x4c00000e 0x0
0x4c000015 0x4a70200c000
0x4c000016 0x0
0x4c000017 0x22
0x4c00001e 0x603c
0x4c00005e 0xdeadbeef0bad0bad
0x4c00005f 0xdeadbeef0bad0bad
0x4c00006f 0xdeadbeef0bad0bad
0x54000011 0x0
0x54002005 0x0
0x5c002002 0x0
0x80002002 0x0
0x80002010 0x0
